Country Code,Country name,Year,CO2_Totales,CO2_Percap,CO2_PIB,PIB,Exportaciones,Importaciones,Indice_Apertura
ARG,Argentina,1990,11.631717502524056,3.44991254024438,462.560559701143,25.6745216787432,10.359536592526384,4.631322407417753,14.990858999944138
ARG,Argentina,1991,11.670111282674432,3.5360727831825,426.614517117445,25.96881508349713,7.675043348322166,6.078010810566982,13.75305415888915
ARG,Argentina,1992,11.707236303895845,3.62096868568039,395.5218800236,26.156023982112817,6.598187472037402,8.132793114315644,14.730980586353047
ARG,Argentina,1993,11.683588617567274,3.49034762044121,364.733889353363,26.19028562051441,6.909351533708319,9.313799914075634,16.223151447783955
ARG,Argentina,1994,11.722785548376567,3.58365149781153,358.39743050185405,26.274052353130184,7.529948725916719,10.604397141081417,18.134345866998135
ARG,Argentina,1995,11.716253768588622,3.51590619581147,366.49153863220005,26.276348972932954,9.680410259590147,10.09101283078536,19.771423090375507
ARG,Argentina,1996,11.769254213839764,3.66189622823494,366.200925766594,26.329618332434347,10.428596756013922,11.07787164970756,21.506468405721485
ARG,Argentina,1997,11.81064134746396,3.77091353030549,353.039719448941,26.402956719685793,10.560850101926183,12.775328741817734,23.336178843743916
ARG,Argentina,1998,11.832642746563442,3.81002385467109,347.513280894518,26.423536693884007,10.41558196109193,12.934446011976988,23.35002797306892
ARG,Argentina,1999,11.887850434483799,3.98150323024565,380.106500750897,26.370559166157307,9.827174514942351,11.555570447547465,21.382744962489816
ARG,Argentina,2000,11.857059872046687,3.8200410395587,371.512382998446,26.3729572308477,10.986375232557629,11.636069545176655,22.622444777734284
ARG,Argentina,2001,11.85276181518198,3.76578553881501,386.980372555108,26.316849127945314,11.5790080825317,10.273247369013582,21.852255451545282
ARG,Argentina,2002,11.78605423751721,3.48954400390468,406.26893907844504,25.348634005974947,28.382596999168214,13.370127359395994,41.75272435856421
ARG,Argentina,2003,11.86603898556283,3.74591018069379,404.365252959833,25.587696267480545,25.93094292642245,14.7138051046861,40.64474803110855
ARG,Argentina,2004,11.951183124929917,4.04270416734892,403.837967128447,25.75454968719269,23.84761942398915,16.845026684957805,40.69264610894696
ARG,Argentina,2005,11.976182090540018,4.10856487964921,379.249612507937,25.933808311141544,23.24587673385756,17.305394236766247,40.551270970623804
ARG,Argentina,2006,12.075555499781395,4.4979746744619,386.178946395984,26.089551295672358,23.026694603811514,17.406785268103604,40.43347987191512
ARG,Argentina,2007,12.121210054608916,4.66692219526354,372.025788739014,26.28689965692005,22.66275031150658,18.2824203070644,40.945170618570984
ARG,Argentina,2008,12.167218266068511,4.84405273889016,364.881581650156,26.512236751610857,22.060900382624236,18.341772996413997,40.402673379038234
ARG,Argentina,2009,13.661156712083525,8.32529902395891,841.2467996465484,26.45037991680156,19.56098505608181,14.49614184940606,34.05712690548787
ARG,Argentina,2010,14.196398808132239,3.08031343372194,1135.459965407319,26.63328157279036,18.933823405370887,16.03718985819868,34.97101326356957
BRA,Brazil,1990,12.249548657428507,1.39583495127297,194.548021869716,26.858726354616067,8.1972364845005,6.958362596521317,15.155599081021817
BRA,Brazil,1991,12.298335477792923,1.44157142038667,201.231976665919,26.732908734361445,8.677636598878678,7.914441163785954,16.59207776266463
BRA,Brazil,1992,12.30458555022237,1.42775731935799,203.44353794032799,26.69086421804009,10.868311660593474,8.38506312730241,19.253374787895883
BRA,Brazil,1993,12.349040924717901,1.46980558575786,203.21161129679598,26.80616831365245,10.50327165541441,9.096048892049126,19.599320547463535
BRA,Brazil,1994,12.397329215936947,1.51917316592036,202.46492525972002,27.026312157739415,9.513076427020039,9.161683369082233,18.674759796102272
BRA,Brazil,1995,12.526575363313798,1.70260845470707,220.653171239232,27.368293319788314,7.528875038470733,9.455584960724819,16.98445999919555
BRA,Brazil,1996,12.615676012554603,1.8330255777257,236.139001686932,27.456290570478554,6.730209683126849,8.905381792741316,15.635591475868164
BRA,Brazil,1997,12.67981883764245,1.9248604631384,243.56188825479398,27.493137394203018,6.983649575308945,9.592559686015747,16.576209261324692
BRA,Brazil,1998,12.657188213137035,1.85356871479972,238.021670444264,27.46121274342531,7.030500338718067,9.408084592487837,16.438584931205902
BRA,Brazil,1999,12.682520910304202,1.87318790344127,243.517542085277,27.098057565632498,9.5648982609794,11.41726821724905,20.98216647822845
BRA,Brazil,2000,12.70722768557012,1.8926450310814,239.299495675699,27.192053769496884,10.188048004379477,12.451713352414597,22.639761356794075
BRA,Brazil,2001,12.736389759959067,1.92164029567756,243.193974661765,27.039676048510216,12.371710669930001,14.564574352134036,26.936285022064038
BRA,Brazil,2002,12.72244028989108,1.86952561293602,233.614852946971,26.946280955086053,14.230590271377547,13.387767130853392,27.61835740223094
BRA,Brazil,2003,12.69082074818754,1.78796284095263,223.772176110069,27.037663681947688,15.18078370868613,12.959601014473154,28.140384723159286
BRA,Brazil,2004,12.740126431565836,1.85544359148851,222.379004046509,27.221186475302442,16.545761511935275,13.132490966818263,29.67825247875354
BRA,Brazil,2005,12.765595512005675,1.88167746530881,221.128592975773,27.50566795218276,15.243829267264639,11.842965938314734,27.08679520557937
BRA,Brazil,2006,12.772924228985229,1.8756387982433,214.27960425455,27.716204996858128,14.374316300300583,11.667383585004536,26.04169988530512
BRA,Brazil,2007,12.816839034101449,1.94084420879517,211.043520748119,27.942895176807898,13.327675103098999,11.964936270580836,25.292611373679833
BRA,Brazil,2008,12.882123879626226,2.052903303498,214.21866193542598,28.133390423157913,13.534000512403505,13.723568904076036,27.25756941647954
BRA,Brazil,2009,14.71534599159221,2.78257436558011,623.9764493785431,28.09757484800647,10.85137113409795,11.254604470608825,22.105975604706778
BRA,Brazil,2010,15.527341057550377,4.260644800238115,1088.29210731897,28.367174888870643,10.865584774696483,11.906593337308442,22.772178112004923
CHN,China,1990,14.715974308115953,2.16770307659104,1969.45727886944,26.60082485572045,13.614710169642036,10.65842193859213,24.273132108234165
CHN,China,1991,14.765057431014888,2.24590127565651,1894.26378182123,26.662037838134676,14.487878144834212,11.461845958246434,25.949724103080648
CHN,China,1992,14.80727309928598,2.31420729031649,1730.24811006405,26.769836082500206,15.658219675339206,14.487496778258455,30.14571645359766
CHN,China,1993,14.872847280166702,2.44280065934625,1620.6231453774,26.811178323102855,16.70229455029944,19.353783317948654,36.056077868248096
CHN,China,1994,14.933350579950513,2.56599389177193,1522.2839953673,27.04981721015307,18.536841051673044,17.23315239684908,35.76999344852212
CHN,China,1995,15.015561225758677,2.75575496636525,1490.2796292881799,27.313576775116736,17.95255937200781,16.324479466366355,34.27703883837417
CHN,China,1996,15.057671561141703,2.84430958153669,1413.06899125232,27.475635191031092,17.92324165903184,15.89140213025228,33.81464378928412
CHN,China,1997,15.059523945412085,2.82056789057578,1295.23235487058,27.582516238793993,19.493204434652807,15.039883741397386,34.53308817605019
